user_id,tag_1,tag_2,tag_3,tag_4,tag_5,num_trajectories,num_stay_points,num_clusters
user_1,leisure-swimming_pool: 4,amenity-hospital: 2,amenity-community_centre: 1,,,15,121,3
user_2,,,,,,10,73,1
user_3,shop-supermarket: 1,amenity-hospital: 1,amenity-fast_food: 1,leisure-park: 1,amenity-school: 1,16,175,3
user_4,,,,,,8,30,0
user_5,amenity-university: 2,historic-monument: 2,amenity-cafe: 2,amenity-restaurant: 2,tourism-museum: 2,137,665,10
user_6,amenity-hospital: 2,amenity-community_centre: 1,,,,12,70,2
user_7,office-university: 3,amenity-university: 1,amenity-school: 1,,,12,91,3
user_8,natural-wood: 1,,,,,5,40,1
user_9,leisure-park: 1,,,,,14,122,2
user_10,office-university: 12,amenity-fast_food: 7,amenity-pub: 6,shop-hairdresser: 6,amenity-university: 5,39,312,9
user_11,tourism-artwork: 5,historic-memorial: 2,amenity-restaurant: 1,,,32,159,4
user_12,tourism-museum: 2,amenity-cafe: 2,amenity-townhall: 1,historic-memorial: 1,tourism-artwork: 1,33,217,3
user_13,amenity-hospital: 2,,,,,67,270,3
user_14,amenity-place_of_worship: 2,amenity-hospital: 2,office-bank: 1,natural-wood: 1,,74,331,3
user_15,amenity-fast_food: 5,office-university: 4,amenity-pub: 4,shop-hairdresser: 2,amenity-restaurant: 2,96,594,7
user_16,amenity-university: 1,amenity-kindergarten: 1,leisure-pitch: 1,,,44,179,6
user_17,amenity-place_of_worship: 1,,,,,23,51,2
user_18,natural-wood: 1,,,,,9,56,2
user_19,amenity-fast_food: 1,amenity-university: 1,,,,49,316,4
user_20,amenity-hospital: 1,,,,,15,117,1
user_21,leisure-park: 2,,,,,17,102,5
user_22,leisure-park: 1,leisure-playground: 1,,,,17,134,3
user_23,amenity-cafe: 6,leisure-park: 2,amenity-pub: 2,amenity-embassy: 1,amenity-community_centre: 1,33,262,7
user_24,shop-hairdresser: 3,leisure-garden: 1,natural-wood: 1,leisure-park: 1,leisure-sports_centre: 1,147,552,9
user_25,shop-supermarket: 1,amenity-school: 1,,,,109,494,5
user_26,,,,,,27,87,2
user_27,amenity-school: 2,leisure-garden: 2,amenity-university: 2,leisure-park: 1,leisure-playground: 1,61,257,7
user_28,leisure-park: 4,leisure-playground: 1,amenity-pharmacy: 1,amenity-pub: 1,amenity-university: 1,25,264,8
user_29,amenity-restaurant: 8,amenity-university: 7,amenity-pub: 6,leisure-park: 5,amenity-cafe: 5,216,1182,21
user_30,leisure-sports_centre: 2,,,,,17,98,3
user_31,amenity-cafe: 3,shop-supermarket: 2,tourism-museum: 2,amenity-bar: 2,amenity-fast_food: 2,146,535,6
user_32,office-university: 15,amenity-theatre: 3,amenity-university: 2,amenity-pub: 2,amenity-place_of_worship: 2,183,1440,9
user_33,office-university: 2,amenity-university: 1,,,,40,159,2
user_34,tourism-artwork: 14,leisure-sports_centre: 5,tourism-museum: 3,amenity-fast_food: 3,amenity-pub: 2,366,2350,28
user_35,historic-monument: 3,amenity-arts_centre: 2,leisure-swimming_pool: 1,leisure-playground: 1,leisure-pitch: 1,49,345,5
user_36,leisure-swimming_pool: 2,,,,,7,63,1
user_37,,,,,,20,109,1
user_38,leisure-sports_centre: 3,shop-furniture: 1,amenity-pub: 1,amenity-restaurant: 1,amenity-cafe: 1,156,309,5
user_39,amenity-university: 3,historic-monument: 2,amenity-cafe: 2,leisure-garden: 1,amenity-arts_centre: 1,48,339,4
user_40,amenity-school: 1,amenity-restaurant: 1,,,,15,137,2
user_41,leisure-pitch: 3,leisure-park: 2,leisure-garden: 2,historic-monument: 2,amenity-university: 1,47,244,5
user_42,amenity-marketplace: 6,shop-bakery: 5,amenity-restaurant: 4,shop-convenience: 4,shop-confectionery: 2,440,1709,18
user_43,leisure-park: 3,amenity-restaurant: 3,amenity-bar: 2,amenity-cafe: 2,amenity-embassy: 1,136,781,13
user_44,leisure-garden: 3,leisure-park: 2,amenity-bar: 2,amenity-restaurant: 2,amenity-university: 1,47,324,8
